ip_morale|士 气 
ip_morale_text|士 气 代 表 一 支 部 队 在 面 对 战 斗 和 行 军 的 压 力 时 ， 调 动 耐 力 、 勇 气 和 纪 律 的 能 力 和 意 愿 。 士 气 与 士 兵 的 幸 福 感 不 是 一 回 事 情 。 精 锐 部 队 也 许 会 因 不 满 而 抱 怨 战 役 的 艰 苦 — — 但 是 当 他 们 面 对 如 蝗 飞 矢 的 时 候 还 是 会 坚 如 磐 石 团 结 如 一 。 另 一 方 面 ， 纵 容 士 兵 所 求 的 统 帅 可 能 会 发 现 部 队 变 得 软 弱 ， 在 敌 人 冲 锋 时 就 望 风 而 逃 。 ^^ 士 气 对 部 队 的 最 大 影 响 体 现 在 战 斗 表 现 中 ， 决 定 士 兵 接 战 的 主 动 性 ， 以 及 当 感 知 战 局 逆 转 时 落 荒 而 逃 的 可 能 性 。 士 气 也 会 影 响 行 军 速 度 — — 士 气 低 落 的 部 队 行 进 更 慢 ， 因 为 士 兵 不 会 拼 尽 体 力 ， 还 会 频 繁 停 顿 以 等 待 落 单 者 。 最 后 ， 士 气 极 低 的 部 队 会 开 始 出 现 逃 兵 。 ^^ 一 些 影 响 士 气 的 因 素 是 很 直 观 的 。 比 如 ， 一 个 魅 力 过 人 、 百 战 百 胜 的 统 帅 可 以 给 部 下 精 神 上 以 极 大 的 鼓 舞 。 给 部 下 提 供 大 量 而 又 丰 富 食 物 、 按 时 发 饷 的 领 导 者 ， 表 明 他 们 关 心 部 下 的 福 祉 ， 也 更 少 带 领 部 队 深 赴 险 地 。 ^^ 另 外 一 些 因 素 就 不 是 那 么 直 观 了 — — 特 别 是 那 些 涉 及 部 队 的 团 队 凝 聚 力 方 面 的 。 例 如 ， 在 紧 密 小 型 部 队 里 ， 士 兵 常 会 在 劣 势 下 奋 战 ， 不 愿 在 同 伴 面 前 表 现 怯 懦 ， 因 为 你 的 胆 小 与 否 别 人 都 能 看 得 到 。 反 观 大 型 部 队 ， 凝 聚 力 可 能 受 损 ， 这 是 由 于 统 帅 没 有 时 间 来 督 导 士 兵 、 倾 听 怨 言 、 调 解 纠 纷 。 频 繁 战 斗 会 强 化 同 袍 情 谊 ， 而 长 期 无 战 事 则 会 让 士 兵 无 聊 互 斗 。 ^^ 玩 家 可 按 “ 报 告 ” 按 钮 查 看 士 气 报 告 ， 了 解 影 响 士 兵 士 气 的 因 素 。 
ip_economy|经 济 
ip_economy_text|卡 拉 迪 亚 的 城 镇 和 村 庄 需 要 多 种 物 资 以 维 持 人 口 健 康 和 生 产 。 民 以 食 为 天 ： 谷 物 是 卡 拉 迪 亚 的 主 粮 ， 但 人 们 也 需 要 肉 、 鱼 、 奶 酪 等 含 有 脂 肪 和 蛋 白 质 的 食 物 。 保 存 肉 类 几 乎 和 生 产 肉 类 一 样 费 工 ， 因 此 盐 的 需 求 量 也 很 高 。 吃 饱 还 需 穿 暖 ： 厚 重 的 羊 毛 ， 轻 盈 的 亚 麻 ， 或 者 奢 华 的 天 鹅 绒 。 最 后 ， 人 们 需 要 生 产 工 具 ： 铁 器 ， 陶 器 ， 皮 革 制 品 ， 当 然 ， 还 有 ， 用 于 战 争 的 武 器 ，甲 胄  ， 以 及 马 匹 。 ^^ 大 多 数 农 业 产 品 产 自 于 村 庄 ， 而 城 镇 里 的 工 匠 则 专 门 从 事 于 制 造 品 或 者 手 工 艺 品 比 如 织 物 或 者 铁 器 。 此 外 ， 不 同 地 区 有 不 同 资 源 。 因 此 ， 卡 拉 迪 亚 的 繁 荣 之 道 在 于 贸 易 — — 无 论 是 村 庄 与 城 镇 之 间 ， 还 是 大 城 镇 之 间 。 ^^ 当 贸 易 畅 通 时 ， 物 资 充 足 且 价 格 合 理 ， 城 镇 人 口 健 康 充 满 活 力 ， 移 民 会 从 附 近 地 区 涌 入 。 这 样 的 城 镇 生 产 更 多 、 消 费 更 多 ， 能 向 领 主 缴 纳 更 多 税 赋 。 当 贸 易 停 滞 时 ， 城 镇 和 村 庄 的 劳 动 力 会 流 失 ， 经 济 活 动 陷 入 停 滞 。 因 此 ， 统 治 者 有 责 任 保 护 商 路 免 受 战 乱 和 盗 匪 威 胁 。 聪 明 的 商 人 则 可 能 寻 找 与 外 隔 绝 的 城 镇 ， 利 用 价 差 赚 取 厚 利 。 ^^ 村 民 通 常 计 划 将 物 资 运 往 城 镇 市 集 ， 因 此 村 庄 市 场 相 对 冷 清 ， 村 民 低 买 高 卖 。 正 经 商 人 会 驻 守 城 镇 谋 利 ， 不 过 有 些 商 队 会 在 村 庄 短 暂 停 留 采 购 物 资 。 ^^ 想 了 解 地 区 繁 荣 影 响 因 素 的 玩 家 ， 可 与 城 镇 的 行 会 主 事 交 谈 。 其 他 信 息 可 从 路 人 处 打 听 ， 不 过 他 们 通 常 只 熟 悉 自 己 的 行 当 。 
ip_courtship|求 爱 
ip_courtship_text|玩 家 可 能 希 望 与 卡 拉 迪 亚 的 贵 族 家 族 联 姻 。 虽 然 联 姻 并 非 提 升 权 力 地 位 的 必 需 条 件 ， 但 确 实 为 玩 家 提 供 了 改 善 与 领 主 关 系 、 声 索 王 位 的 机 会 。 ^^ 男 性 和 女 性 角 色 的 联 姻 要 求 不 同 。 男 性 角 色 通 常 需 走 传 统 求 爱 路 径 ： 在 卡 拉 迪 亚 贵 族 社 会 中 打 响 名 声 ， 与 新 娘 的 父 母 或 监 护 人 建 立 良 好 关 系 ， 再 按 地 方 习 俗 向 贵 族 女 士 求 爱 。 若 玩 家 缺 乏 耐 心 ， 可 能 试 图 走 捷 径 — — 但 会 影 响 与 其 他 领 主 的 关 系 。 ^^ 男 性 角 色 需 知 ， 其 他 领 主 会 与 他 竞 争 贵 族 女 士 的 青 睐 。 而 且 ， 女 士 的 心 意 难 以 预 测 ， 玩 家 可 能 发 现 心 仪 之 人 并 不 爱 他 。 卡 拉 迪 亚 的 爱 情 与 世 界 其 他 地 方 一 样 ， 并 非 总 能 如 愿 。 当 然 ， 玩 家 可 以 使 用 不 那 么 绅 士 的 手 段 赢 得 美 人 心 ， 但 这 同 样 会 严 重 损 害 声 誉 。 ^^ 想 开 启 求 爱 之 路 ， 男 性 玩 家 应 参 与 卡 拉 迪 亚 贵 族 的 社 交 生 活 ， 参 加 宴 会 和 竞 技 大 会 。 流 浪 的 游 吟 诗 人 是 求 爱 信 息 的 宝 库 ， 能 让 玩 家 及 时 掌 握 最 新 流 言 。 ^^ 女 性 角 色 也 可 联 姻 — — 但 需 知 卡 拉 迪 亚 社 会 非 常 传 统 ， 作 为 冒 险 者 的 她 们 选 择 了 一 条 非 同 寻 常 的 道 路 。 女 性 角 色 可 能 需 要 花 时 间 寻 找 思 想 开 明 的 领 主 愿 与 她 结 婚 。 ^^ 乐 观 地 看 ， 女 性 角 色 无 需 经 历 繁 琐 的 求 爱 仪 式 ， 而 且 联 姻 带 来 的 好 处 可 能 超 过 男 性 角 色 。 对 女 性 冒 险 者 而 言 ， 联 姻 是 快 速 获 得 权 力 的 途 径 — — 不 择 手 段 的 角 色 甚 至 可 利 用 丈 夫 实 现 政 治 野 心 。 
ip_politics|政 治 
ip_politics_text|卡 拉 迪 亚 各 王 国 虽 文 化 不 同 ， 却 都 遵 循 基 本 的 封 建 政 治 体 系 ： 封 建 制 度 基 于 个 人 关 系 — — 封 臣 向 领 主 宣 誓 忠 诚 。 作 为 回 报 ， 封 臣 通 常 获 得 封 地 ， 其 收 入 用 于 征 募 部 队 ， 在 战 时 支 援 领 主 。 领 主 也 有 义 务 保 护 封 臣 ， 公 平 待 人 。 ^^ 理 论 上 如 此 ， 但 实 际 中 封 臣 并 不 总 为 王 国 利 益 效 力 ， 特 别 是 当 他 们 相 互 争 吵 时 。 贵 族 性 格 各 异 ， 难 免 冲 突 。 或 许 两 位 贵 族 曾 是 朋 友 ， 却 因 失 败 或 爱 上 同 一 位 女 士 反 目 。 当 他 们 争 夺 国 王 宠 信 时 — — 无 论 为 新 征 服 的 土 地 ， 还 是 为 觊 觎 的 统 帅 职 位 — — 嫉 妒 也 会 显 现 。 ^^ 当 卡 拉 迪 亚 某 王 国 向 另 一 国 宣 战 时 ， 王 国 的 政 治 凝 聚 力 与 军 队 战 力 同 等 重 要 。 凝 聚 力 强 的 王 国 中 ， 贵 族 会 集 结 大 军 扫 荡 敌 人 ； 而 在 内 斗 不 止 的 王 国 ， 领 主 会 无 视 统 帅 召 唤 ， 或 在 战 事 不 利 时 离 开 处 理 私 务 。 王 国 的 政 治 凝 聚 力 也 会 影 响 非 战 时 的 军 事 行 动 ： 分 裂 的 王 国 中 ， 领 主 更 少 联 合 袭 击 、 巡 逻 或 互 相 援 助 。 ^^ 若 贵 族 在 敌 人 临 近 时 仍 勾 心 斗 角 ， 请 记 住 — — 根 本 上 ， 贵 族 的 忠 诚 属 于 自 己 和 家 族 。 若 担 心 王 国 崩 溃 ， 或 感 受 到 领 主 忽 视 ， 他 们 总 能 找 到 背 叛 的 理 由 ， 转 投 敌 营 。 玩 家 应 牢 记 这 一 点 ， 因 为 可 能 有 机 会 将 心 怀 不 满 的 前 敌 变 为 盟 友 。 
ip_character_backgrounds|角 色 背 景 
ip_character_backgrounds_text|卡 拉 迪 亚 的 玩 家 角 色 可 选 择 多 种 社 会 背 景 。 这 一 选 择 不 仅 影 响 初 始 技 能 和 装 备 ， 还 会 影 响 冒 险 生 涯 的 走 向 。 ^^ 卡 拉 迪 亚 的 战 争 和 政 治 传 统 上 由 男 性 贵 族 主 导 。 贵 族 男 性 玩 家 可 能 很 快 融 入 “ 大 男 子 贵 族 圈 ” ， 而 女 性 和 平 民 角 色 可 能 面 临 更 多 障 碍 。 选 择 男 性 贵 族 开 局 类 似 “ 简 单 ” 难 度 ， 贵 族 女 性 或 平 民 男 性 开 局 稍 难 ， 平 民 女 性 开 局 则 是 最 具 挑 战 性 的 选 择 。 ^^ 尽 管 这 样 ， 女 性 也 有 开 局 的 优 势 。 很 明 显 的 就 是 招 兵 ， 一 名 女 性 勇 士 自 身 很 能 引 人 注 意 ， 这 样 她 能 够 比 男 性 更 快 地 树 立 自 己 的 名 声 。 传 统 上 ， 女 性 借 联 姻 提 升 社 会 地 位 比 男 性 更 易 ， 战 略 联 姻 带 来 的 好 处 也 可 能 更 大 。 ^^ 最 后 ， 请 记 住 这 游 戏 里 ， 英 雄 不 问 出 处 ， 王 侯 将 相 ， 宁 有 种 乎 。 无 论 贵 族 或 平 民 、 男 性 或 女 性 、 婚 姻 状 态 如 何 ， 只 要 足 够 勇 敢 、 幸 运 或 富 有 智 谋 ， 任 何 人 都 能 成 为 卡 拉 迪 亚 的 统 治 者 。 
ip_military_campaigns|军 事 战 争 
