menu_start_game_0|欢 迎 来 到 《 骑 马 与 砍 杀 ： 战 团 》 的 世 界 ， 冒 险 者 。 在 开 始 游 戏 前 ， 您 需 要 创 建 自 己 的 角 色 。 请 您 注 意 ， 在 游 戏 所 描 绘 的 传 统 中 世 纪 社 会 里 ， 战 争 与 政 治 通 常 由 贵 族 男 性 主 导 。 但 这 并 不 意 味 着 您 不 应 选 择 女 性 角 色 或 非 贵 族 出 身 的 角 色 。 贵 族 男 性 或 许 起 步 稍 微 轻 松 ， 但 女 性 和 平 民 同 样 能 获 得 相 同 的 成 就 —— 实 际 上 ， 游 戏 初 期 更 有 挑 战 性 ， 也 许 会 给 您 带 来 更 多 的 乐 趣 。 
mno_continue|继 续 … … 
mno_go_back|返 回 。 
menu_start_phase_2|你 听 说 过 卡 拉 迪 亚 —— 这 片 王 国 争 雄 、 战 火 纷 飞 的 土 地 ， 是 骑 士 与 雇 佣 兵 、 杀 手 与 冒 险 者 的 避 风 港 ， 他 们 皆 愿 为 财 富 、 权 力 或 荣 耀 赌 上 生 命 … … 在 这 片 危 险 与 机 遇 并 存 的 土 地 上 ， 你 相 信 可 以 抛 却 过 往 ， 开 启 新 生 。 你 感 觉 终 于 握 住 了 命 运 的 钥 匙 ， 可 随 心 所 欲 地 选 择 前 路 ， 且 无 论 何 种 选 择 ， 都 有 壮 丽 的 冒 险 等 候 着 你 。 受 卡 拉 迪 亚 及 其 王 国 传 说 的 吸 引 ， 你 … … 
mno_town_1|加 入 商 队 ， 前 往 斯 瓦 迪 亚 王 国 的 帕 拉 汶 。 
mno_town_2|加 入 商 队 ， 前 往 维 基 亚 王 国 的 瑞 瓦 丁 。 
mno_town_3|加 入 商 队 ， 前 往 库 吉 特 汗 国 的 图 尔 加 。 
mno_town_4|乘 船 ， 前 往 诺 德 王 国 的 萨 哥 斯 。 
mno_town_5|乘 船 ， 前 往 罗 多 克 王 国 的 杰 尔 喀 拉 。 
mno_town_6|加 入 商 队 ， 前 往 萨 兰 德 苏 丹 国 的 沙 瑞 兹 。 
menu_start_game_3|选 择 游 戏 情 景 ： 
menu_tutorial|你 来 到 一 片 空 地 ， 当 地 人 正 在 此 练 习 武 器 。 你 可 以 在 这 里 锻 炼 战 斗 技 能 。 
mno_go_back_dot|返 回 。 
menu_reports|角 色 声 望 ： {reg5}^ 荣 誉 级 别 ： {reg6}^ 部 队 士 气 ： {reg8}^ 部 队 上 限 ： {reg7}^ 
mno_cheat_faction_orders|阵 营 作 弊 菜 单 。 
mno_view_character_report|角 色 报 告 。 
mno_view_party_size_report|部 队 规 模 报 告 。 
mno_view_npc_mission_report|同 伴 任 务 报 告 。 
mno_view_weekly_budget_report|周 预 算 报 告 。 
mno_view_morale_report|部 队 士 气 报 告 。 
mno_lord_relations|按 关 系 查 看 已 知 领 主 列 表 。 
mno_courtship_relations|求 爱 关 系 。 
mno_status_check|NPC 状 态 检 查 。 
mno_view_faction_relations_report|阵 营 关 系 。 
mno_resume_travelling|继 续 旅 程 。 
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|战 斗 结 束 。 {s1}你 方 在 战 斗 中 击 杀 {reg5}名 敌 人 ， 损 失 了 {reg6}名 士 兵 。 你 击 杀 了 {reg7}人 。 
menu_start_game_1|选 择 你 的 角 色 性 别 。 
mno_start_male|男 性 
mno_start_female|女 性 
menu_start_character_1|多 年 前 ， 你 出 生 在 远 方 的 一 片 土 地 。 你 的 父 亲 曾 是 … … 
mno_start_noble|一 位 没 落 的 贵 族 。 
mno_start_merchant|一 位 旅 行 商 人 。 
mno_start_guard|一 位 退 伍 老 兵 。 
mno_start_forester|一 位 猎 人 。 
mno_start_nomad|一 位 游 牧 民 。 
mno_start_thief|一 位 盗 贼 。 
menu_start_character_2|{s10}^^ 你 几 乎 刚 能 走 路 说 话 ， 就 开 始 认 识 这 个 世 界 。 你 的 早 年 生 活 是 作 为 … … 
mno_page|贵 族 宫 廷 的 侍 童 。 
mno_apprentice|手 工 匠 的 学 徒 。 
mno_stockboy|商 人 们 的 帮 手 。 
mno_urchin|大 街 上 的 顽 童 。 
mno_nomad|大 草 原 上 的 孩 子 。 
menu_start_character_3|{s11}^^ 后 来 ， 当 你 长 大 成 人 ， 生 活 理 所 应 当 发 生 了 改 变 。 你 成 为 了 … … 
mno_squire|骑 士 的 扈 从 。 
mno_lady|贵 族 的 侍 女 。 
mno_troubadour|吟 游 诗 人 。 
mno_student|学 徒 。 
mno_peddler|货 郎 。 
mno_craftsman|铁 匠 。 
mno_poacher|偷 猎 者 。 
menu_start_character_4|{s12}^^ 但 不 久 一 切 都 变 了 ， 你 决 定 独 自 出 发 ， 成 为 一 名 冒 险 者 。 让 你 做 出 这 一 决 定 的 是 … … 
mno_revenge|私 人 恩 怨 。 
mno_death|失 去 挚 爱 的 痛 苦 。 
mno_wanderlust|对 于 探 险 的 爱 好 。 
mno_disown|被 迫 离 家 失 所 。 
mno_greed|对 于 权 力 与 财 富 的 渴 望 。 
menu_choose_skill|{s13}
mno_begin_adventuring|你 成 为 了 冒 险 者 ， 策 马 迈 向 你 的 命 运 。 
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_companion_report|{s7}{s1}
mno_faction_orders_next_faction|选 择 下 一 个 国 家 。 
mno_faction_orders_political_collapse|使 阵 营 所 有 领 主 与 国 王 争 吵 。 
mno_faction_orders_defend|强 制 防 御 。 
mno_faction_orders_feast|强 制 举 办 宴 会 。 
