p_zendar|禅 达　
p_town_1|萨 哥 斯　
p_town_2|提 尔　
p_town_3|维 鲁 卡　
p_town_4|苏 诺　
p_town_5|杰 尔 喀 拉　
p_town_6|帕 拉 汶　
p_town_7|乌 克 斯 豪 尔　
p_town_8|瑞 瓦 丁　
p_town_9|胡 丹　
p_town_10|图 尔 加　
p_town_11|库 劳　
p_town_12|沃 尔 切 格　
p_town_13|里 瓦 切 格　
p_town_14|哈 尔 玛　
p_town_15|亚 伦　
p_town_16|德 瑞 姆　
p_town_17|亦 察 木 尔　
p_town_18|纳 拉　
p_town_19|沙 瑞 兹　
p_town_20|都 库 巴　
p_town_21|阿 默 拉 德　
p_town_22|巴 瑞 耶　
p_castle_1|卡 尔 玛 堡　
p_castle_2|马 拉 尤 格 堡　
p_castle_3|布 鲁 赫 堡　
p_castle_4|拉 多 吉 尔 堡　
p_castle_5|提 赫 洛 格 堡　
p_castle_6|提 尔 伯 特 堡　
p_castle_7|桑 吉 彻 堡　
p_castle_8|杰 尔 泊 堡　
p_castle_9|加 米 奇 堡　
p_castle_10|艾 尔 布 克 堡　
p_castle_11|库 林 堡　
p_castle_12|查 尔 贝 克 堡　
p_castle_13|凯 尔 瑞 丹 堡　
p_castle_14|马 拉 斯 堡　
p_castle_15|阿 哥 尔 隆 堡　
p_castle_16|阿 尔 梅 拉 堡　
p_castle_17|迪 斯 塔 尔 堡　
p_castle_18|依 斯 摩 罗 拉 堡　
p_castle_19|耶 如 玛 堡　
p_castle_20|德 其 欧 斯 堡　
p_castle_21|伊 布 德 勒 斯 堡　
p_castle_22|乌 鲁 兹 达 克 堡　
p_castle_23|特 瓦 林 堡　
p_castle_24|雷 恩 迪 堡　
p_castle_25|瑞 泊 莱 特 堡　
p_castle_26|赛 努 兹 哥 达 堡　
p_castle_27|瑞 恩 迪 亚 堡　
p_castle_28|格 鲁 恩 沃 德 堡　
p_castle_29|涅 拉 格 堡　
p_castle_30|阿 苏 甘 堡　
p_castle_31|温 科 德 堡　
p_castle_32|克 努 达 堡　
p_castle_33|埃 特 罗 斯 克 堡　
p_castle_34|赫 鲁 斯 堡　
p_castle_35|哈 伦 哥 斯 堡　
p_castle_36|捷 尔 贝 吉 堡　
p_castle_37|德 拉 穆 格 堡　
p_castle_38|图 尔 布 克 堡　
p_castle_39|斯 莱 兹 赫 堡　
p_castle_40|阿 乎 恩 堡　
p_castle_41|加 米 耶 德 堡　
p_castle_42|特 拉 玛 堡　
p_castle_43|沙 尔 瓦 堡　
p_castle_44|都 林 堡　
p_castle_45|卡 拉 夫 堡　
p_castle_46|维 亚 堡　
p_castle_47|萨 马 拉 堡　
p_castle_48|巴 尔 达 克 堡　
p_village_1|亚 拉 加 尔　
p_village_2|伯 格 伦　
p_village_3|阿 兹 哥 德　
p_village_4|诺 玛　
p_village_5|库 鲁 姆　
p_village_6|爱 米 林　
p_village_7|阿 密 尔　
p_village_8|哈 茵　
p_village_9|布 夫 兰　
p_village_10|梅 金　
p_village_11|达 斯 图 瑞 尔　
p_village_12|艾 美 尔　
p_village_13|尼 美 亚　
p_village_14|桑 布 亚　
p_village_15|瑞 泊 莱 特　
p_village_16|沙 佩 什 特　
p_village_17|马 赞　
p_village_18|乌 伯 班　
p_village_19|哈 努 恩　
p_village_20|乌 斯 卢 姆　
p_village_21|巴 泽 克　
p_village_22|舒 乐 斯　
p_village_23|伊 欧 薇 雅　
p_village_24|鲁 迪　
p_village_25|达 什 比 哈　
p_village_26|培 刚 德　
p_village_27|格 伦 玛　
p_village_28|塔 什 · 库 伦　
p_village_29|布 伊 林　
p_village_30|卢 瓦 尔　
p_village_31|安 碧 恩　
p_village_32|托 斯 德 尔　
p_village_33|卢 伦 斯　
p_village_34|埃 勒 达　
p_village_35|费 瑞 肯　
p_village_36|加 耶 克　
p_village_37|阿 达 · 库 伦　
p_village_38|伊 比 然　
p_village_39|雷 维 兰　
p_village_40|塞 伦　
p_village_41|杜 甘　
p_village_42|德 瑞 赫 · 阿 班　
p_village_43|扎 古 什　
p_village_44|帕 什 米　
p_village_45|巴 鲁 格　
p_village_46|菲 德 讷　
p_village_47|艾 佩 希　
p_village_48|维 达　
p_village_49|提 斯 米 尔　
p_village_50|卡 伦 迪　
p_village_51|捷 尔 贝 吉　
p_village_52|阿 玛 什 克　
p_village_53|巴 兰 利　
p_village_54|柴 德　
p_village_55|塔 德 萨 麦 什　
p_village_56|费 纳 达　
p_village_57|乌 什 库 鲁　
p_village_58|维 赞　
p_village_59|都 玛 尔　
p_village_60|塔 尔 伯 尔　
p_village_61|阿 尔 德 伦　
p_village_62|瑞 巴 奇　
p_village_63|鲁 杜 纳　
p_village_64|瑟 林 迪 亚　
p_village_65|伊 因 达　
p_village_66|费 斯 德 那　
p_village_67|特 班 德 拉　
p_village_68|伊 布 德 勒 斯　
p_village_69|克 温　
p_village_70|德 瑞 格 森　
p_village_71|齐 布 汀　
p_village_72|艾 尔 贝 尔　
p_village_73|卡 埃 扎　
p_village_74|艾 伊 科　
p_village_75|布 胡 拉 班　
p_village_76|凯 德 尔 克　
p_village_77|瑞 兹　
p_village_78|萨 里 米 什　
p_village_79|伊 斯 提 尼 亚　
p_village_80|瓦 耶 格　
p_village_81|欧 达 桑　
p_village_82|亚 里 贝　
p_village_83|吉 西 姆　
p_village_84|克 莱 兹　
p_village_85|依 斯 摩 罗 拉　
p_village_86|斯 莱 兹 赫　
p_village_87|乌 迪 尼 亚 德　
p_village_88|图 尔 布 克　
p_village_89|阿 乎 恩　
p_village_90|加 米 奇　
p_village_91|艾 恩 · 阿 苏 阿 迪　
p_village_92|迪 拜 恩　
p_village_93|卡 柳 特　
p_village_94|马 兹 赫　
p_village_95|塔 姆 努　
p_village_96|哈 巴　
p_village_97|赛 赫 腾　
p_village_98|马 维 提　
p_village_99|费 沙 拉　
p_village_100|伊 克 拜 尔　
p_village_101|乌 兹 哈　
p_village_102|希 巴 尔 · 祖 姆 尔　
p_village_103|米 加 耶 特　
p_village_104|塔 兹 居 纳 特　
p_village_105|阿 卜　
p_village_106|哈 瓦 哈　
p_village_107|乌 恩 丽 亚　
p_village_108|米 特 · 努 恩　
p_village_109|提 里 姆 萨 尔　
p_village_110|鲁 什 迪 赫　
p_salt_mine|盐 矿　
p_four_ways_inn|四 方 客 栈　
p_test_scene|测 试 场 景　
p_battlefields|战 场　
p_dhorak_keep|多 拉 克 要 塞　
p_training_ground|训 练 场　
p_training_ground_1|训 练 场　
p_training_ground_2|训 练 场　
p_training_ground_3|训 练 场　
p_training_ground_4|训 练 场　
p_training_ground_5|训 练 场　
p_steppe_bandit_spawn_point|草 原　
p_taiga_bandit_spawn_point|雪 原　
p_forest_bandit_spawn_point|森 林　
p_mountain_bandit_spawn_point|高 地　
p_sea_raider_spawn_point_1|海 岸　
p_sea_raider_spawn_point_2|海 岸　
p_desert_bandit_spawn_point|沙 漠　
